name,lat,lon
Bệnh viện Đa khoa Tân Phú,10.783524199999999,106.64192527732327
Bệnh viện Đa khoa Tân Định,10.7901736,106.68962469360143
Bệnh viện Đa khoa khu vực Củ Chi,10.9754129,106.47688891699943
Bệnh viện Đa khoa khu vực Hóc Môn,10.88250485,106.59297619482408
Bệnh viện Đa khoa khu vực Thủ Đức,10.86215685,106.78084056514597
Bệnh viện Đại học Y Dược - Cơ sở 2,10.75794385,106.66122520727585
Bệnh viện Đại học Y Dược Thành phố Hồ Chí Minh,10.755217349999999,106.66456964090926
CI Hospital,10.74035345,106.60775829992383
Columbia Asia Saigon,10.7795758,106.6965213
Family Practice,10.8076139,106.73379687107152
Kyo,10.8375648,106.8153901
Nha Khoa SingDent,10.7404252,106.6998107
Nhà Thuốc Thái Thanh,10.7255507,106.7339143
Nhà Thuốc Tây Quàng Hòa,10.73530725,106.62122145383677
Phòng Khám Dr Vein,10.7278961,106.7080164
Phòng Khám Đa Khoa An Phúc,10.7587193,106.6621153
Phòng Khám Đa Khoa Hữu Nghị,10.848021,106.6783081
Phòng Khám Đa Khoa Thế Giới,10.7519331,106.6843795
Phòng Thí Nghiệm - Kiểm Tra Sức Khoẻ,10.7603786,106.6798139
Phòng khám Medisen Thư An,10.7366377,106.7130832
Phòng khám bác sĩ Hồ Cao Vũ,10.7278806,106.708011
Phòng khám đa khoa YHCT Thiên Phúc Đường,10.8558331,106.7665022
Phòng khám đa khoa quốc tế Nhân Hậu,10.7585783,106.6617832
Phóng khám ACC Quận 5,10.759465,106.6834753
Trung Tâm Chẩn Đoán Y Khoa Medic - BV Hòa Hảo,10.762528,106.6701859
Trung Tâm Hiến Múa Nhân Đạo,10.7756389,106.6557898
Trung Tâm Y Tế Dự Phòng - Phòng Khám Tiêm Phòng,10.764268,106.707021
Trung tâm Y tế Dự phòng Quận 8,10.7481208,106.66328973865274
Trung tâm Y tế Khu vực Chợ Lớn (Cơ sở 2),10.7538843,106.66690443114747
Trung tâm Điều dưỡng Người bệnh Tâm Thần Thủ Đức,10.8670756,106.74654338539614
Trạm Y Tế Phường 7 Quận Phú Nhuận,10.8037745,106.6866028
Trạm Y Tế phường Bình Hưng Hòa,10.7916803,106.60479516003072
Trạm Y tế phường Bình Trưng Đông,10.7896015,106.77201145209678
Trạm y tế Phước Bình,10.81581805,106.77312453913314
Trạm y tế phường 9 quận 8,10.745995749999999,106.67016381230468
Viện Pasteur Thành phố Hồ Chí Minh,10.786105899999999,106.68887239223955
Viện Tim Thành phố Hồ Chí Minh,10.7729754,106.66707394464697
Viện Y Dược học Dân tộc,10.797243550000001,106.67121919145308
Viện thấm mỹ Bác sĩ Minh,10.7575935,106.6782304
Wedo Skin Clinic,10.7982784,106.7384179
Wedo Skin Clinic Quan 1,10.7888402,106.6974043
Yoga trị liệu l Ci Yoga Therapy CN Celadon,10.8054227,106.6151358
