TenChungCu,GiaTrenM2,District,Ward,latitude,longitude,Quan_huyen_goc,Phuong_xa,Quan_huyen,dist_hospital_m,dist_mall_m,dist_metro_m,dist_university_m,Dien_tich_km2,SoChungCu,MatDoChungCu,hospital_cnt,mall_cnt,metro_cnt,university_cnt,price_segment,dist_hospital_discrete,dist_mall_discrete,dist_metro_discrete,dist_university_discrete,district_discrete
Chung cư Elysian,71.5,Quận 9,Phường Trường Thạnh,10.86,106.797,Quận 9,Tân Phú,Thành phố Thủ Đức,1769.3467850991956,1099.3125261856112,834.5434345143964,1289.4794110473179,4.48092353006263,9,2.0085145259941997,1,0,0,2,Trung bình,Xa,Gần,Gần,Gần,Quận 9
Flora Novia,53.62,Thành phố Thủ Đức,Phường Linh Tây,10.856,106.719,Thủ Đức,Hiệp Bình Phước,Thành phố Thủ Đức,3050.5221941547497,3119.877846346459,5547.132854096789,2924.1853688871524,7.637190144499191,4,0.5237528363597265,0,0,0,0,Trung bình,Xa,Xa,Xa,Xa,Thủ Đức
Chung Cư Centum Wealth,58.58,Quận 9,Phường Hiệp Phú,10.854,106.775,Thủ Đức,Linh Trung,Thành phố Thủ Đức,951.0826094031432,1167.4930336881125,916.349108652415,298.62742028732987,7.136967148703152,2,0.2802310783178282,2,0,2,6,Trung bình,Gần,Gần,Gần,Gần,Thủ Đức
Centana City Điền Phúc Thành,55.0,Quận 9,Phường Long Trường,10.848,106.785,Quận 9,Hiệp Phú,Thành phố Thủ Đức,665.3518638139541,1259.6707196193342,1286.0125345059244,80.24278728408318,2.1675915240096124,4,1.8453661382661235,1,0,0,3,Trung bình,Gần,Gần,Gần,Gần,Quận 9
Chung cư TDH – Phước Bình,47.62,Quận 9,Phường Phước Bình,10.848,106.785,Quận 9,Hiệp Phú,Thành phố Thủ Đức,665.3518638139541,1259.6707196193342,1286.0125345059244,80.24278728408318,2.1675915240096124,4,1.8453661382661235,1,0,0,3,Thấp,Gần,Gần,Gần,Gần,Quận 9
Him Lam Phú An,63.83,Quận 9,Phường Phước Long A,10.848,106.785,Quận 9,Hiệp Phú,Thành phố Thủ Đức,665.3518638139541,1259.6707196193342,1286.0125345059244,80.24278728408318,2.1675915240096124,4,1.8453661382661235,1,0,0,3,Trung bình,Gần,Gần,Gần,Gần,Quận 9
Nhân Phú,44.11,Quận 9,Phường Tăng Nhơn Phú B,10.848,106.762,Thủ Đức,Bình Thọ,Thành phố Thủ Đức,996.5888519181868,404.0336868682981,1070.0848898831462,476.74626199312075,1.230259520553364,3,2.4385098833867316,0,1,1,1,Thấp,Gần,Gần,Gần,Gần,Thủ Đức
Topaz Home 2,35.32,Quận 9,Phường Tân Phú,10.848,106.785,Quận 9,Hiệp Phú,Thành phố Thủ Đức,665.3518638139541,1259.6707196193342,1286.0125345059244,80.24278728408318,2.1675915240096124,4,1.8453661382661235,1,0,0,3,Thấp,Gần,Gần,Gần,Gần,Quận 9
Urban Green,74.2,Thành phố Thủ Đức,Phường Hiệp Bình Phước,10.845,106.705,Thủ Đức,Hiệp Bình Phước,Thành phố Thủ Đức,4928.336718274536,2635.3046703971495,5836.245420223113,1906.5923047398878,7.637190144499191,4,0.5237528363597265,0,0,0,0,Trung bình,Xa,Xa,Xa,Xa,Thủ Đức
Chung cư Man Thiện,28.0,Quận 9,Phường Tăng Nhơn Phú A,10.844,106.767,Thủ Đức,Bình Thọ,Thành phố Thủ Đức,1159.6231827950583,678.8078914522373,574.1352737575324,345.3291385782562,1.230259520553364,3,2.4385098833867316,0,1,1,1,Thấp,Gần,Gần,Gần,Gần,Thủ Đức
Avatar Thủ Đức,41.07,Thủ Đức,Phường Trường Thọ,10.841,106.752,Thủ Đức,Trường Thọ,Thành phố Thủ Đức,2281.9130566093118,1742.9490615369875,1595.1715774538754,1372.5160852819222,5.089595406923178,6,1.178875631614732,0,0,2,0,Thấp,Xa,Xa,Xa,Gần,Thủ Đức
9 View Apartment,49.14,Quận 9,Phường Phước Long B,10.84,106.77,Quận 9,Phước Long B,Thành phố Thủ Đức,983.0148065130346,1212.120899861216,731.3128002204138,624.4752198260279,5.864574508305687,16,2.7282456685203753,0,0,0,0,Thấp,Gần,Gần,Gần,Gần,Quận 9
Cao ốc Phố Đông - Hoa Sen,43.59,Quận 9,Phường Phước Long B,10.84,106.77,Quận 9,Phước Long B,Thành phố Thủ Đức,983.0148065130346,1212.120899861216,731.3128002204138,624.4752198260279,5.864574508305687,16,2.7282456685203753,0,0,0,0,Thấp,Gần,Gần,Gần,Gần,Quận 9
Chung Cư TDH - Trường Thọ,46.66,Thành phố Thủ Đức,Phường Trường Thọ,10.84,106.75,Thủ Đức,Trường Thọ,Thành phố Thủ Đức,2514.725250304884,1986.2399933255929,1723.1607732844004,1602.671229001453,5.089595406923178,6,1.178875631614732,0,0,2,0,Thấp,Xa,Xa,Xa,Xa,Thủ Đức
Ehome 2,45.36,Quận 9,Phường Phước Long B,10.84,106.77,Quận 9,Phước Long B,Thành phố Thủ Đức,983.0148065130346,1212.120899861216,731.3128002204138,624.4752198260279,5.864574508305687,16,2.7282456685203753,0,0,0,0,Thấp,Gần,Gần,Gần,Gần,Quận 9
Flora Anh Đào,56.31,Quận 9,Phường Phước Long B,10.84,106.77,Quận 9,Phước Long B,Thành phố Thủ Đức,983.0148065130346,1212.120899861216,731.3128002204138,624.4752198260279,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Gần,Gần,Gần,Gần,Quận 9
Fuji Residence,56.7,Quận 9,Phường Phước Long B,10.84,106.77,Quận 9,Phước Long B,Thành phố Thủ Đức,983.0148065130346,1212.120899861216,731.3128002204138,624.4752198260279,5.864574508305687,16,2.7282456685203753,0,0,0,0,Trung bình,Gần,Gần,Gần,Gần,Quận 9
